name,cd2,cd3
Абхазский,ab,abk
Аварский,av,ava
Авестийский,ae,ave
Азербайджанский,az,aze
Аймара,ay,aym
Акан,ak,aka
Албанский,sq,sqi
Амхарский,am,amh
Английский,en,eng
Арабский,ar,ara
Арагонский,an,arg
Армянский,hy,hye
Ассамский,as,asm
Афарский,aa,aar
Африкаанс,af,afr
Бамбара,bm,bam
Баскский,eu,eus
Башкирский,ba,bak
Белорусский,be,bel
Бенгальский,bn,ben
Бирманский,my,mya
Бислама,bi,bis
Бихарский,bh,bih
Болгарский,bg,bul
Боснийский,bs,bos
Бретонский,br,bre
Валлийский,cy,cym
Валлонский,wa,wln
Венгерский,hu,hun
Венда,ve,ven
Волапюк,vo,vol
Волоф,wo,wol
Вьетнамский,vi,vie
Гаитянский креольский,ht,hat
Галисийский,gl,glg
Гальский,gd,gla
Ганда,lg,lug
Гереро,hz,her
Голландский,nl,nld
Гренландский,kl,kal
Греческий (новогреческий),el,ell
Грузинский,ka,kat
Гуарани,gn,grn
Гуджарати,gu,guj
Датский,da,dan
Дзонг-кэ,dz,dzo
Дивехи (Мальдивский),dv,div
Зулу,zu,zul
Иврит (современный),he,heb
Игбо,ig,ibo
Идиш,yi,yid
Идо,io,ido
Индонезийский,id,ind
Интерлингва,ia,ina
Интерлингве,ie,ile
Инуктитут,iu,iku
Инупиак,ik,ipk
Ирландский,ga,gle
Исландский,is,isl
Испанский,es,spa
Итальянский,it,ita
Йоруба,yo,yor
Казахский,kk,kaz
Каннада,kn,kan
Канури,kr,kau
Каталонский,ca,cat
Кашмири,ks,kas
Кечуа,qu,que
Кикуйю,ki,kik
Киньяма,kj,kua
Киргизский,ky,kir
Китайский,zh,zho
Коми,kv,kom
Конго,kg,kon
Корейский,ko,kor
Корнский,kw,cor
Корсиканский,co,cos
Коса,xh,xho
Кри,cr,cre
Курдский,ku,kur
Кхмерский,km,khm
Лаосский,lo,lao
Латвийский,lv,lav
Латинский,la,lat
Лимбургский,li,lim
Лингала,ln,lin
Литовский,lt,lit
Луба-катанга,lu,lub
Люксембургский,lb,ltz
Македонский,mk,mkd
Малагасийский,mg,mlg
Малайский,ms,msa
Малаялам,ml,mal
Мальтийский,mt,mlt
Маори,mi,mri
Маратхи,mr,mar
Маршалльский,mh,mah
Монгольский,mn,mon
Мэнский,gv,glv
Навахо,nv,nav
Науру,na,nau
Ндебеле северный,nd,nde
Ндебеле южный,nr,nbl
Ндунга,ng,ndo
Немецкий,de,deu
Непальский,ne,nep
Норвежский,no,nor
Норвежский (букмол),nb,nob
Норвежский (нюнорск),nn,nno
Носу,ii,iii
Ньянджа,ny,nya
Оджибве,oj,oji
Окситанский,oc,oci
Ория,or,ori
Оромо,om,orm
Осетинский,os,oss
Пали,pi,pli
Пенджабский,pa,pan
Персидский,fa,fas
Польский,pl,pol
Португальский,pt,por
Пушту,ps,pus
Ретороманский,rm,roh
Руанда,rw,kin
Румынский,ro,ron
Рунди,rn,run
Русский,ru,rus
Самоанский,sm,smo
Санго,sg,sag
Санскрит,sa,san
Сардинский,sc,srd
Свати,ss,ssw
Северносаамский,se,sme
Сербский,sr,srp
Сингальский,si,sin
Синдхи,sd,snd
Словацкий,sk,slk
Словенский,sl,slv
Сомали,so,som
Сото южный,st,sot
Суахили,sw,swa
Сунданский,su,sun
Тагальский,tl,tgl
Таджикский,tg,tgk
Таитянский,ty,tah
Тайский,th,tha
Тамильский,ta,tam
Татарский,tt,tat
Тви,tw,twi
Телугу,te,tel
Тибетский,bo,bod
Тигринья,ti,tir
Тонганский,to,ton
Тсвана,tn,tsn
Тсонга,ts,tso
Турецкий,tr,tur
Туркменский,tk,tuk
Узбекский,uz,uzb
Уйгурский,ug,uig
Украинский,uk,ukr
Урду,ur,urd
Фарерский,fo,fao
Фиджи,fj,fij
Финский,fi,fin
Французский,fr,fra
Фризский,fy,fry
Фулах,ff,ful
Хауса,ha,hau
Хинди,hi,hin
Хиримоту,ho,hmo
Хорватский,hr,hrv
Церковнославянский (старославянский),cu,chu
Чаморро,ch,cha
Чеченский,ce,che
Чешский,cs,ces
Чжуанский,za,zha
Чувашский,cv,chv
Шведский,sv,swe
Шона,sn,sna
Эве,ee,ewe
Эсперанто,eo,epo
Эстонский,et,est
Яванский,jv,jav
Японский,ja,jpn